index,value,insert_time_seconds
197,3194,3.750000000080e-06
198,7056,3.584000000001e-06
199,4678,3.540999999996e-06
200,4200,1.962500000008e-05
201,9136,1.133300000000e-05
202,9130,8.040999999959e-06
203,5310,1.137500000004e-05
204,5401,9.999999999954e-06
205,4008,7.917000000024e-06
206,2659,7.917000000024e-06
207,7617,3.792000000002e-06
208,8749,1.237500000006e-05
209,5453,1.174999999998e-05
210,6994,7.666999999989e-06
211,636,1.058399999998e-05
212,4892,7.916999999913e-06
213,9179,1.437500000001e-05
214,9847,7.749999999973e-06
215,9231,3.500000000045e-06
216,7571,1.450000000003e-05
217,849,3.874999999987e-06
218,1295,9.916999999970e-06
219,1773,3.583000000029e-06
220,369,7.749999999973e-06
221,8623,2.004099999997e-05
222,729,1.462500000005e-05
223,3304,3.917000000020e-06
224,7055,1.029100000005e-05
225,7694,3.666000000013e-06
226,132,7.792000000006e-06
227,1596,1.187499999999e-05
228,3097,3.707999999936e-06
229,1975,3.375000000028e-06
230,2898,3.750000000080e-06
231,5119,8.125000000025e-06
232,7112,3.709000000018e-06
233,6438,8.042000000041e-06
234,8701,7.832999999957e-06
235,7725,3.292000000044e-06
236,1621,1.029199999991e-05
237,9616,3.540999999996e-06
238,4743,3.624999999952e-06
239,4943,3.583000000029e-06
240,4697,3.540999999996e-06
241,7583,3.458000000012e-06
242,482,7.541999999972e-06
243,794,1.854200000007e-05
244,8307,1.008400000002e-05
245,5760,1.020799999996e-05
246,9938,3.417000000061e-06
247,4626,3.500000000045e-06
248,5110,1.170800000005e-05
249,3973,3.666999999985e-06
250,6242,2.391700000004e-05
251,0,4.375000000056e-06
252,6405,3.958000000082e-06
253,5251,1.099999999998e-05
254,1336,8.083999999964e-06
255,7455,3.459000000094e-06
256,7989,2.874999999958e-06
257,499,6.417000000036e-06
258,8169,6.332999999970e-06
259,3173,1.295800000001e-05
260,449,1.404199999999e-05
261,890,9.417000000012e-06
262,5465,9.416000000040e-06
263,2380,4.375000000056e-06
264,3713,4.040999999955e-06
265,9644,9.959000000004e-06
266,6515,3.832999999953e-06
267,1118,6.583999999976e-06
268,9145,9.666999999935e-06
269,8276,6.207999999952e-06
270,9755,1.208399999997e-05
271,6392,1.229100000000e-05
272,5057,2.999999999975e-06
273,3123,3.124999999993e-06
274,5133,2.916999999991e-06
275,9135,2.916999999991e-06
276,1180,2.158299999999e-05
277,2810,9.833999999986e-06
278,444,1.258299999995e-05
279,6370,8.875000000019e-06
280,5963,3.040999999926e-06
281,8383,3.209000000060e-06
282,8986,3.042000000009e-06
283,5266,9.708999999969e-06
284,4648,3.695900000000e-05
285,9797,8.333000000027e-06
286,559,3.416999999950e-06
287,1508,2.999999999975e-06
288,797,9.749999999920e-06
289,2039,9.958000000032e-06
290,9885,9.790999999981e-06
291,9865,8.333999999999e-06
292,5241,3.500000000045e-06
293,9360,2.874999999958e-06
294,2373,5.108299999990e-05
295,8527,1.412499999998e-05
296,9646,3.008400000004e-05
297,9561,7.792000000006e-06
298,8704,6.958000000057e-06
299,1426,3.042000000009e-06
300,9455,8.916000000081e-06
301,4883,9.792000000064e-06
302,3540,8.416999999983e-06
303,9527,1.254100000003e-05
304,9181,4.959000000082e-06
305,4736,3.624999999952e-06
306,6574,3.207999999977e-06
307,9611,3.250000000010e-06
308,3919,9.291999999994e-06
309,46,8.916999999942e-06
310,6239,1.320900000001e-05
311,2186,8.541000000029e-06
312,1592,1.008300000005e-05
313,8493,6.500000000020e-06
314,2764,1.179100000004e-05
315,6908,6.625000000038e-06
316,2404,1.087499999997e-05
317,6989,8.624999999984e-06
318,7806,2.959000000025e-06
319,3743,6.458999999959e-06
320,4667,7.415999999982e-06
321,176,1.750000000000e-05
322,4825,1.495900000004e-05
323,867,1.220900000010e-05
324,5394,3.250000000010e-06
325,4657,8.042000000041e-06
326,248,3.791000000031e-06
327,8824,3.957999999971e-06
328,1775,3.666000000013e-06
329,4792,8.166999999948e-06
330,4922,3.791000000031e-06
331,9751,9.000000000037e-06
332,7859,3.792000000002e-06
333,2786,1.050000000002e-05
334,6164,3.832999999953e-06
335,5179,3.708000000047e-06
336,6081,3.584000000001e-06
337,7787,1.137500000004e-05
338,2585,8.000000000008e-06
339,5346,1.541599999999e-05
340,5013,7.916999999913e-06
341,2823,3.666999999985e-06
342,3144,7.250000000014e-06
343,3027,7.957999999975e-06
344,1078,3.583000000029e-06
345,8157,7.708000000051e-06
346,2565,3.874999999987e-06
347,351,7.874999999991e-06
348,6635,9.625000000013e-06
349,3704,8.082999999992e-06
350,2657,1.020899999993e-05
351,3696,1.054099999998e-05
352,312,3.749999999969e-06
353,523,1.062499999993e-05
354,4276,4.165999999972e-06
355,4119,3.832999999953e-06
356,6141,7.999999999897e-06
357,4206,1.816600000004e-05
358,9719,1.600000000002e-05
359,6514,1.037500000001e-05
360,9090,3.584000000001e-06
361,7595,7.958000000086e-06
362,9760,3.624999999952e-06
363,7953,7.707999999940e-06
364,8073,1.141700000007e-05
365,7386,3.792000000002e-06
366,7094,7.917000000024e-06
367,1570,8.040999999959e-06
368,1213,1.074999999995e-05
369,9538,1.012499999997e-05
370,7917,7.874999999991e-06
371,4341,3.666999999985e-06
372,688,1.041700000004e-05
373,3755,3.833000000064e-06
374,7272,7.874999999991e-06
375,291,7.874999999991e-06
376,7607,3.540999999996e-06
377,1019,1.341700000002e-05
378,2569,1.208300000000e-05
379,1754,3.541999999968e-06
380,5345,1.187499999999e-05
381,6790,7.915999999941e-06
382,2414,7.082999999963e-06
383,9205,3.749999999969e-06
384,4302,7.791000000035e-06
385,4497,7.666000000017e-06
386,2496,1.049999999991e-05
387,4967,7.749999999973e-06
388,395,3.666000000013e-06
389,244,1.054199999995e-05
390,5220,1.058299999990e-05
391,3997,7.792000000006e-06
392,7535,3.709000000018e-06
393,4085,7.874999999991e-06
394,6120,3.834000000036e-06
395,5695,3.540999999996e-06
396,9085,7.708000000051e-06
397,8662,3.624999999952e-06
398,2710,1.029199999991e-05
399,5951,7.874999999991e-06
400,811,3.667000000096e-06
401,3614,7.749999999973e-06
402,2484,1.866600000000e-05
403,5064,3.915999999937e-06
404,6760,8.040999999959e-06
405,1100,9.999999999954e-06
406,6279,3.917000000020e-06
407,1051,8.083999999964e-06
408,3647,7.666999999989e-06
409,121,3.667000000096e-06
410,534,1.229199999997e-05
411,2032,7.917000000024e-06
412,9122,3.749999999969e-06
413,1829,7.917000000024e-06
414,5407,7.792000000006e-06
415,1095,8.125000000025e-06
416,3662,2.383299999997e-05
417,8648,3.624999999952e-06
418,8490,1.150000000005e-05
419,2103,1.258299999995e-05
420,1746,3.500000000045e-06
421,651,1.162500000007e-05
422,8448,8.000000000008e-06
423,6416,3.792000000002e-06
424,4034,1.070800000003e-05
425,5653,3.458000000012e-06
426,9764,1.066599999999e-05
427,5080,3.917000000020e-06
428,5445,9.250000000072e-06
429,455,3.124999999993e-06
430,3002,8.625000000095e-06
431,6629,3.042000000009e-06
432,5895,6.458999999959e-06
433,7977,6.417000000036e-06
434,2134,9.582999999980e-06
435,8855,4.667000000014e-06
436,1108,3.500000000045e-06
437,6593,9.082999999910e-06
438,8519,1.854200000007e-05
439,5626,7.874999999991e-06
440,4804,1.708300000003e-05
441,8486,7.124999999997e-06
442,6488,8.082999999992e-06
443,9980,3.874999999987e-06
444,3068,1.641700000010e-05
445,929,2.100000000005e-05
446,5901,8.208000000010e-06
447,3,7.916999999913e-06
448,6970,2.229099999995e-05
449,9935,3.917000000020e-06
450,3742,4.000000000004e-06
451,3336,3.749999999969e-06
452,3521,3.832999999953e-06
453,7434,9.166000000005e-06
454,1155,5.540999999942e-06
455,5798,8.208999999981e-06
456,3877,5.499999999992e-06
457,2505,2.749999999940e-06
458,8674,5.499999999992e-06
459,7334,2.708000000018e-06
460,1085,7.458000000016e-06
461,1079,1.741700000002e-05
462,920,7.291000000076e-06
463,101,3.374999999917e-06
464,9010,3.167000000026e-06
465,8587,3.084000000042e-06
466,9530,9.875000000048e-06
467,3179,8.667000000018e-06
468,7572,3.332999999994e-06
469,1742,8.708000000079e-06
470,6360,9.750000000031e-06
471,8617,8.499999999967e-06
472,3884,6.750000000055e-06
473,1652,1.641699999999e-05
474,7006,3.375000000028e-06
475,8393,3.042000000009e-06
476,1932,8.457999999933e-06
477,1434,6.584000000087e-06
478,1458,6.540999999971e-06
479,7019,6.666999999960e-06
480,4365,3.250000000010e-06
481,8342,3.207999999977e-06
482,4390,1.020799999996e-05
483,9009,6.292000000019e-06
484,4830,3.290999999961e-06
485,7625,6.665999999989e-06
486,2601,3.084000000042e-06
487,4522,9.625000000013e-06
488,6988,6.625000000038e-06
489,3077,8.457999999933e-06
490,7429,8.624999999984e-06
491,3221,6.625000000038e-06
492,9715,6.499999999909e-06
493,1090,3.124999999993e-06
494,8545,1.266700000002e-05
495,3249,6.457999999987e-06
496,4350,3.290999999961e-06
497,7988,6.625000000038e-06
498,5868,3.166999999915e-06
499,8048,6.750000000055e-06
500,5247,1.287500000002e-05
501,4412,6.541000000082e-06
502,1757,3.207999999977e-06
503,5808,1.166699999999e-05
504,7374,1.195899999995e-05
505,4476,3.208000000088e-06
506,9313,3.042000000009e-06
507,712,2.957999999942e-06
508,5093,2.999999999975e-06
509,866,6.457999999987e-06
510,6127,6.417000000036e-06
511,6142,8.374999999949e-06
512,3900,9.582999999980e-06
513,2928,6.749999999944e-06
514,7413,3.082999999959e-06
515,7127,6.292000000019e-06
